Date,Site,Subsite,Station,Genus,Species,Weight,Recapture,Sex,Tag_Number,Latitude,Logitude,Elevation,*NA_Exracted ,SNV ,Bartonella,Borrelia,Rickettsia,Notes,
10-Jun-14,5,5,2,Callospermophilus,lateralis,224,Yes,Female,92880,,,,,,,,,PREGNANT,
10-Jun-14,5,3,1,Callospermophilus,lateralis,189,No,Female,92845,,,,,,,,,NO SAMPLE,
10-Jun-14,5,1,6,Neotoma,mexicana,237,No,Male,92831,,,,,,,,,,
10-Jun-14,5,2,4,Callospermophilus,lateralis,212,No,Female,92810,,,,,,,,,PREGNANT,
10-Jun-14,5,1,7,Tamias,dorsalis,75,No,Female,,,,,,,,,,"PREGNANT, EXCAPE NO SAMPLE",
10-Jun-14,5,4,4,Tamias,dorsalis,77,No,Female,92867,,,,,,,,,PREGNANT,
10-Jun-14,5,4,1,Tamias,dorsalis,71,Yes,Female,92894,,,,,,,,,PREGNANT,
10-Jun-14,5,7,3,Tamias,dorsalis,77,Yes,Female,93007,,,,,,,,,PREGNANT,
10-Jun-14,5,2,3,Tamias,dorsalis,59,No,Male,92812,,,,,,,,,,
10-Jun-14,5,9,3,Peromyscus,maniculatus,25,No,Female,EAR 274,,,,,,,,,PREGNANT,
10-Jun-14,5,9,1,Peromyscus,maniculatus,22,No,Male,EAR 271,,,,,,,,,FLEAS COLLECTED,
10-Jun-14,5,4,7,Peromyscus,maniculatus,23,No,Male,EAR 252 ,,,,,,,,,FLEAS PRESENT-- NOT COLLECTED,
10-Jun-14,5,7,2,Peromyscus,maniculatus,12,No,Male,EAR 251,,,,,,,,,FLEAS COLLECTED,
10-Jun-14,5,8,6,Peromyscus,maniculatus,17,No,Male,EAR 272,,,,,,,,,,
10-Jun-14,5,4,3,Peromyscus,maniculatus,23,No,Male,EAR 277,,,,,,,,,FLEAS COLLECTED,DIED
10-Jun-14,5,1,4,Peromyscus,maniculatus,19,No,Male,EAR 270,,,,,,,,,WOUND LOWER JAW,
10-Jun-14,5,4,6,Peromyscus,maniculatus,15,?,Male,EAR 269,,,,,,,,,COULD HAVE RIPPED EAR,
10-Jun-14,5,6,1,Peromyscus,maniculatus,15,No,Male,EAR 268,,,,,,,,,DIED,
10-Jun-14,5,3,4,Peromyscus,maniculatus,14,No,Male,EAR 267,,,,,,,,,DIED,
10-Jun-14,5,3,3,Peromyscus,maniculatus,16,No,Male,EAR 266,,,,,,,,,,
10-Jun-14,5,3,2,Peromyscus,maniculatus,20,No,Male,EAR 265,,,,,,,,,,
10-Jun-14,5,3,5,Peromyscus,maniculatus,12,No,Male,EAR 253,,,,,,,,,DIED NO SAMPLE,
10-Jun-14,5,4,2,Peromyscus,maniculatus,24,No,Female,EAR 260,,,,,,,,,PREGNANT,
10-Jun-14,5,8,4,Peromyscus,maniculatus,22,No,Female,EAR263,,,,,,,,,"MENSTRATING, NO SAMPLE",
10-Jun-14,5,4,5A,Peromyscus,maniculatus,19,No,Female,EAR 262,,,,,,,,,LACTATING,
10-Jun-14,5,4,5B,Peromyscus,maniculatus,24,No,Female,EAR 254,,,,,,,,,,
10-Jun-14,5,8,3,Peromyscus,maniculatus,24,No,Female,EAR 257,,,,,,,,,,
10-Jun-14,5,1,5,Peromyscus,maniculatus,12,No,Male,EAR 255,,,,,,,,,,
10-Jun-14,5,9,5,Peromyscus,maniculatus,17,No,Male,EAR 256,,,,,,,,,,
10-Jun-14,5,9,4,Peromyscus,maniculatus,19,No,Male,EAR 261,,,,,,,,,,
10-Jun-14,5,3,6,Peromyscus,maniculatus,10,,,,,,,,,,,,ESCAPED,
10-Jun-14,5,1,2,Peromyscus,maniculatus,18,No,Female,EAR 259,,,,,,,,,FLEAS PRESENT-- NOT COLLECTED,
10-Jun-14,5,3,7,Peromyscus,maniculatus,18,No,Male,EAR 258,,,,,,,,,,
10-Jun-14,5,7,4,Peromyscus,maniculatus,23,No,Female,EAR 250,,,,,,,,,SCARRING ON EAR,
10-Jun-14,5,8,5,Peromyscus,maniculatus,20,,,,,,,,,,,,ESCAPED,
10-Jun-14,5,7,1,Peromyscus,maniculatus,15,No,Male,EAR 249,,,,,,,,,,
10-Jun-14,5,8,2,Peromyscus,maniculatus,12,No,Female,EAR 248,,,,,,,,,DEAD NO SAMPLE,
11-Jun-14,5,2,1,Peromyscus,maniculatus,62,No,Female,92819,,,,,,,,,,
11-Jun-14,5,1,1,Peromyscus,maniculatus,77,Yes,Female,92867,,,,,,,,,"PREGNANT, RECAPTURE FROM 8/10/14",
11-Jun-14,5,1,2,Peromyscus,maniculatus,71,Yes,Female,92874,,,,,,,,,PREGNANT,
11-Jun-14,5,7,3,Callospermophilus,lateralis,165,No,Male,92808,,,,,,,,,SCROTRAL,
11-Jun-14,5,5,2,Callospermophilus,lateralis,189,Yes,Female,92845,,,,,,,,,,
11-Jun-14,5,5,3,Tamias,dorsalis,77,Yes,Female,93007,,,,,,,,,,
11-Jun-14,5,3,4,Tamias,dorsalis,60,No,Female,92897,,,,,,,,,,
11-Jun-14,5,4,1,Tamias,dorsalis,71,Yes,Female,92894,,,,,,,,,,
11-Jun-14,5,6,2,Neotoma,mexicana,275,No,Male,92824,,,,,,,,,HEAVY EAR SCARING,
11-Jun-14,5,1,3,Neotoma,mexicana,257,Yes,Male,92823,,,,,,,,,,
11-Jun-14,5,9,2,Neotoma,mexicana,58,No,Female,92823,,,,,,,,,,
11-Jun-14,5,3,2,Peromyscus,maniculatus,16,Yes,Male,EAR 258,,,,,,,,,,
11-Jun-14,5,5,1,Peromyscus,maniculatus,18,No,Male,EAR 296,,,,,,,,,,
11-Jun-14,5,3,1,Peromyscus,maniculatus,21,No,Female,EAR 299,,,,,,,,,PREGNANT,
11-Jun-14,5,3,7,Peromyscus,maniculatus,12,No,Female,EAR 298,,,,,,,,,STUMPED TAIL,
11-Jun-14,5,6,1,Peromyscus,maniculatus,12,Yes,Male,EAR 253,,,,,,,,,,
11-Jun-14,5,4,2,Peromyscus,maniculatus,19,Yes,Female,EAR 262,,,,,,,,,LACTATING,
11-Jun-14,5,3,8,Peromyscus,maniculatus,25,Yes,Female,EAR 274,,,,,,,,,PREGNANT,
11-Jun-14,5,3,3,Peromyscus,maniculatus,13,No,Female,EAR 297,,,,,,,,,,
11-Jun-14,5,9,4,,VOLE,24,No,Female,EAR 295,,,,,,,,,PREGNANT,
11-Jun-14,5,7,1,Peromyscus,maniculatus,23,Yes,Female,EAR 250,,,,,,,,,,
11-Jun-14,5,9,1,Peromyscus,maniculatus,20,Yes,Female,EAR 26,,,,,,,,,PREGNANT,
